greywater_usage_liters,co2_levels_ppm,humidity_percentage,temperature_celsius,sunlight_hours_average,building_surface_area_sqm,wind_speed_kmh,wall_design,algae_type
799,483,35,30,3.2,47,19.5,1,Chlorella
882,580,56,29,7.5,57,20.7,2,Chlorella
289,494,78,32,11.7,36,24.9,1,Spirulina
786,651,39,30,6.5,29,17.1,3,Chlorella
662,494,25,13,3.4,21,11.2,3,Chlorella
975,454,38,11,3.3,52,21.8,1,Chlorella
666,392,76,29,6.5,70,17.3,1,Chlorella
343,459,24,25,4.4,40,16.6,1,Chlorella
931,360,22,27,3.2,70,10.1,1,Chlorella
604,421,78,17,9.8,83,20.1,1,Chlorella
230,350,20,12,7.1,76,6.6,0,Ulva
584,576,77,18,5.6,44,23.5,2,Chlorella
918,304,79,29,11.1,24,11.5,3,Chlorella
746,391,57,15,4.0,25,7.6,0,Chlorella
120,469,34,19,11.6,22,13.8,3,Chlorella
940,616,53,30,5.8,44,5.8,1,Chlorella
266,321,54,19,11.0,84,18.7,1,Chlorella
373,625,68,22,8.4,68,23.1,2,Chlorella
487,300,44,26,10.4,30,21.7,1,Chlorella
700,432,43,18,11.9,63,7.5,0,Chlorella
415,532,31,26,5.6,84,7.5,1,Chlorella
113,311,37,33,11.7,39,21.3,1,Chlorella
341,645,34,18,6.5,57,23.5,2,Chlorella
876,345,63,18,6.5,44,14.2,1,Chlorella
445,333,35,10,6.1,95,15.0,1,Ulva
664,377,46,11,7.9,47,11.4,1,Ulva
997,517,27,25,4.4,40,22.9,1,Chlorella
439,600,79,10,8.0,87,17.9,1,Chlorella
191,372,65,19,7.9,33,10.8,1,Chlorella
466,581,44,27,9.9,58,11.0,1,Chlorella
554,548,36,17,10.5,41,22.8,1,Chlorella
527,346,48,30,7.0,64,5.3,0,Chlorella
608,420,72,20,5.7,88,11.5,1,Chlorella
875,513,27,32,5.3,67,16.1,1,Chlorella
134,538,34,11,4.8,12,8.0,3,Chlorella
305,355,46,17,3.5,89,6.8,0,Ulva
180,649,65,31,6.1,78,21.3,2,Spirulina
661,406,69,17,5.4,94,22.9,1,Chlorella
971,618,71,26,11.7,19,21.5,2,Chlorella
487,347,26,24,8.0,92,23.0,1,Chlorella
101,360,22,26,6.1,34,16.1,1,Chlorella
489,636,48,32,8.2,77,21.2,2,Chlorella
665,325,63,33,4.3,70,12.7,1,Spirulina
205,591,72,22,7.0,38,18.3,1,Chlorella
871,556,43,28,8.6,28,24.8,2,Chlorella
921,307,79,14,7.4,52,9.5,0,Chlorella
576,412,77,21,6.6,75,12.8,1,Chlorella
802,654,22,10,11.9,83,14.6,1,Chlorella
501,552,39,32,10.9,70,7.8,1,Chlorella
829,479,65,14,8.6,52,6.6,1,Chlorella
655,506,34,17,8.1,34,21.6,1,Chlorella
261,602,44,22,8.6,29,24.5,2,Chlorella
301,426,49,17,4.8,57,13.1,1,Chlorella
369,355,33,34,6.6,92,6.8,0,Chlorella
962,513,26,32,3.4,96,6.3,1,Chlorella
915,313,36,20,7.3,33,22.8,1,Chlorella
370,327,63,10,7.9,20,14.3,3,Chlorella
555,377,39,22,5.0,64,11.4,1,Chlorella
561,515,55,28,11.7,37,14.5,1,Chlorella
826,685,28,33,11.2,78,11.4,1,Chlorella
351,664,57,12,9.5,72,14.8,1,Chlorella
801,453,67,33,7.8,68,22.2,1,Spirulina
395,313,76,26,10.8,14,16.8,3,Chlorella
824,486,79,14,4.2,60,18.9,1,Chlorella
819,611,41,29,10.1,30,12.3,1,Chlorella
848,670,73,30,4.1,21,19.8,3,Chlorella
437,306,72,17,10.1,59,18.3,1,Chlorella
978,302,72,23,5.5,13,7.4,0,Chlorella
152,410,21,13,10.9,51,16.5,1,Chlorella
891,537,43,20,11.5,93,10.1,1,Chlorella
316,662,27,29,4.3,47,21.1,2,Chlorella
863,538,30,24,7.2,34,13.5,1,Chlorella
287,573,32,28,11.8,23,24.9,2,Chlorella
479,593,36,16,7.4,84,6.9,1,Chlorella
592,526,27,28,10.8,41,20.6,1,Chlorella
140,670,40,28,8.3,20,18.5,3,Chlorella
256,314,37,20,6.4,70,20.3,1,Chlorella
114,491,49,14,5.6,27,11.2,3,Chlorella
912,418,37,14,4.8,36,14.8,1,Chlorella
164,327,65,31,9.9,64,20.9,1,Spirulina
956,501,66,17,6.5,63,9.7,1,Chlorella
938,338,50,19,7.6,91,9.5,0,Chlorella
620,572,57,15,7.4,96,16.0,1,Chlorella
443,530,51,24,8.2,84,15.5,1,Chlorella
228,385,30,25,10.8,30,10.6,1,Chlorella
747,425,64,26,11.8,53,11.0,1,Chlorella
571,599,44,17,6.7,14,10.6,3,Chlorella
162,324,52,17,10.4,96,20.4,1,Chlorella
238,444,79,34,9.9,50,18.0,1,Spirulina
598,312,57,18,8.2,68,21.6,1,Chlorella
692,511,60,11,11.6,98,24.5,1,Chlorella
491,324,27,24,4.8,63,14.5,1,Chlorella
774,367,30,27,4.0,83,6.3,0,Chlorella
518,693,41,12,10.7,31,6.0,1,Chlorella
388,366,70,26,7.0,92,10.9,1,Chlorella
478,532,43,13,10.6,74,23.7,1,Chlorella
872,408,60,13,11.0,73,15.5,1,Chlorella
589,445,36,23,3.6,80,10.4,1,Chlorella
330,410,31,18,11.0,13,13.0,3,Chlorella
140,527,76,18,7.0,74,17.0,1,Chlorella
127,410,65,34,7.6,24,18.1,3,Spirulina
234,333,51,32,8.6,85,8.1,0,Chlorella
300,410,34,27,11.3,31,24.5,1,Chlorella
939,563,35,19,3.2,95,15.9,1,Chlorella
879,668,73,30,7.3,56,7.7,1,Chlorella
132,535,41,13,9.2,90,22.9,1,Chlorella
147,382,47,21,9.5,55,6.5,0,Chlorella
602,341,39,17,9.2,23,23.2,3,Ulva
506,400,52,11,4.2,59,24.9,1,Chlorella
673,305,29,31,5.7,29,19.0,3,Chlorella
827,479,59,22,6.2,59,20.4,1,Chlorella
904,581,51,30,10.2,42,11.7,1,Chlorella
198,619,69,25,5.5,68,23.8,2,Chlorella
783,525,79,11,4.9,52,15.6,1,Chlorella
971,614,52,20,11.6,88,19.6,1,Chlorella
825,664,21,19,3.1,21,23.5,2,Chlorella
646,528,52,24,12.0,49,24.5,1,Chlorella
838,676,52,26,9.1,29,21.7,2,Chlorella
712,588,60,17,10.5,47,11.1,1,Chlorella
561,449,32,27,5.7,12,24.3,3,Chlorella
742,576,49,32,3.1,37,17.6,1,Chlorella
868,497,52,18,9.6,65,23.6,1,Chlorella
104,369,32,34,10.5,99,18.5,1,Chlorella
317,411,71,17,9.7,22,11.1,3,Chlorella
602,303,45,23,4.3,86,12.4,1,Chlorella
866,649,41,34,9.8,75,16.0,1,Chlorella
497,630,58,27,9.9,46,20.8,2,Chlorella
970,617,21,31,8.9,58,11.4,1,Chlorella
894,649,57,29,9.9,75,16.6,1,Chlorella
492,394,58,29,10.6,45,11.9,1,Chlorella
306,451,45,30,8.5,63,21.3,1,Chlorella
114,610,65,21,3.8,35,14.3,1,Chlorella
957,436,77,28,7.4,84,6.5,0,Chlorella
653,546,69,23,3.7,81,8.3,1,Chlorella
991,686,34,26,6.7,49,6.2,1,Chlorella
560,542,53,33,6.7,52,15.0,1,Chlorella
790,330,61,30,3.6,31,7.1,0,Chlorella
674,339,74,12,6.1,29,7.3,0,Chlorella
963,528,63,32,4.0,17,23.8,3,Spirulina
842,335,68,16,10.3,38,22.5,1,Chlorella
340,522,59,26,11.5,49,14.0,1,Chlorella
663,305,30,21,3.7,99,24.7,1,Chlorella
195,621,22,18,11.6,39,5.0,1,Chlorella
999,519,78,24,7.7,90,17.3,1,Chlorella
833,374,25,27,5.7,93,17.3,1,Chlorella
584,303,28,30,3.7,64,14.1,1,Chlorella
506,634,25,22,7.5,25,12.9,3,Chlorella
330,433,28,30,10.2,55,14.1,1,Chlorella
848,417,58,17,9.4,71,13.3,1,Chlorella
754,668,50,23,3.5,16,19.6,3,Chlorella
270,393,51,17,3.7,89,7.7,0,Chlorella
640,361,60,23,6.6,54,9.0,0,Chlorella
135,493,69,16,5.7,68,8.6,1,Chlorella
624,634,31,32,5.1,65,10.2,1,Chlorella
259,502,27,21,5.5,57,15.5,1,Chlorella
938,691,27,20,10.2,36,7.2,1,Chlorella
798,325,69,31,11.4,62,22.4,1,Spirulina
342,472,47,31,6.6,96,10.9,1,Chlorella
185,599,39,20,11.2,97,8.3,1,Chlorella
895,432,66,34,5.9,82,18.5,1,Spirulina
677,625,78,31,7.3,44,5.8,1,Spirulina
781,417,26,22,5.0,60,17.4,1,Chlorella
656,623,30,27,8.8,93,19.0,1,Chlorella
673,574,39,11,11.8,46,9.3,1,Chlorella
745,511,35,30,8.4,90,5.8,1,Chlorella
895,524,23,24,6.2,66,12.3,1,Chlorella
127,319,25,29,8.8,17,7.0,0,Chlorella
719,412,77,27,4.1,88,7.3,0,Chlorella
655,439,41,24,11.0,29,10.1,3,Chlorella
439,346,45,28,7.5,62,10.9,1,Chlorella
897,300,22,32,7.0,21,15.6,3,Chlorella
430,389,60,33,8.3,58,18.6,1,Chlorella
739,441,79,21,8.6,26,16.9,3,Chlorella
605,619,61,22,3.6,73,8.0,1,Chlorella
447,337,33,31,9.1,51,8.4,0,Chlorella
572,592,30,20,5.2,38,22.6,2,Chlorella
330,681,37,14,9.4,28,16.2,3,Chlorella
289,438,73,10,10.4,20,22.4,3,Chlorella
324,655,31,33,10.2,59,12.4,1,Chlorella
484,632,42,12,8.0,80,17.3,1,Chlorella
476,558,31,31,7.7,67,15.5,1,Chlorella
382,460,32,28,4.3,43,11.4,1,Chlorella
732,689,44,32,10.0,29,14.4,3,Chlorella
727,477,64,16,5.4,59,15.0,1,Chlorella
844,309,70,21,7.5,97,9.0,0,Chlorella
358,560,77,24,5.6,19,11.3,3,Chlorella
458,437,38,34,4.2,41,20.8,1,Chlorella
809,471,74,14,8.7,61,23.3,1,Chlorella
555,685,65,24,3.5,24,12.2,3,Chlorella
510,312,55,17,9.7,93,11.1,1,Chlorella
748,467,64,19,5.9,12,8.9,3,Chlorella
417,429,27,25,3.0,46,18.6,1,Chlorella
776,383,48,17,7.6,49,11.5,1,Ulva
324,620,74,10,3.4,81,24.8,2,Chlorella
918,618,72,21,5.5,49,11.5,1,Chlorella
333,400,74,14,9.4,65,12.9,1,Chlorella
783,628,51,12,3.6,32,17.1,1,Chlorella
763,572,70,10,10.6,20,21.0,2,Chlorella
926,564,63,13,3.0,73,14.4,1,Chlorella
473,698,37,17,5.2,17,13.5,3,Chlorella
771,337,25,12,9.7,65,24.9,1,Ulva
707,393,37,19,5.8,69,5.2,0,Ulva
571,394,38,11,3.9,19,22.9,3,Ulva
332,604,41,20,6.2,48,8.0,1,Chlorella
791,368,56,34,5.4,37,20.7,1,Chlorella
212,617,51,19,10.6,58,17.4,1,Chlorella
929,535,75,30,5.8,45,11.8,1,Chlorella
596,633,60,23,10.1,22,22.5,2,Chlorella
541,672,78,16,11.0,45,5.3,1,Chlorella
663,675,22,11,6.9,35,9.5,1,Chlorella
367,436,47,18,11.2,95,16.3,1,Chlorella
609,375,29,25,6.4,13,12.0,3,Chlorella
906,334,70,22,11.7,91,17.2,1,Chlorella
485,300,54,18,3.8,73,5.5,0,Chlorella
486,595,48,29,9.2,47,7.3,1,Chlorella
212,619,73,13,7.4,97,7.5,1,Chlorella
712,359,34,31,6.5,96,8.8,0,Chlorella
724,619,52,19,8.7,31,14.2,1,Chlorella
180,648,26,31,9.3,11,20.0,3,Chlorella
798,627,31,21,3.0,40,23.1,2,Chlorella
212,566,68,26,4.5,20,21.7,2,Chlorella
101,660,49,23,9.4,55,8.9,1,Chlorella
741,528,40,23,9.0,71,13.8,1,Chlorella
319,569,50,34,11.7,78,9.0,1,Chlorella
665,615,77,11,9.8,73,10.3,1,Chlorella
954,585,43,30,11.6,19,15.1,3,Chlorella
835,590,39,34,9.3,49,6.4,1,Chlorella
324,512,56,29,5.7,33,9.4,1,Chlorella
484,464,23,20,3.9,53,23.7,1,Chlorella
502,304,47,25,10.0,69,14.3,1,Chlorella
737,638,63,28,8.8,71,13.9,1,Chlorella
229,678,39,32,3.4,96,5.3,1,Chlorella
152,377,79,15,6.2,26,9.9,0,Chlorella
783,361,43,33,11.6,74,22.3,1,Chlorella
829,431,69,28,7.5,66,8.3,0,Chlorella
771,388,68,14,6.9,64,13.3,1,Chlorella
809,536,70,13,7.1,62,5.3,1,Chlorella
515,341,51,24,4.9,65,14.6,1,Chlorella
346,388,60,13,6.3,18,5.4,0,Chlorella
935,595,55,29,6.3,31,21.4,2,Chlorella
538,627,77,19,3.5,22,21.5,2,Chlorella
302,594,72,33,9.9,98,20.8,2,Spirulina
283,403,53,31,6.7,57,10.7,1,Chlorella
222,313,55,12,10.4,27,21.7,3,Chlorella
500,587,21,14,10.7,85,15.9,1,Chlorella
866,478,34,15,4.9,49,12.5,1,Chlorella
393,424,53,30,8.9,26,17.5,3,Chlorella
379,652,55,31,7.3,24,5.2,3,Chlorella
936,322,25,17,10.9,24,7.9,0,Ulva
983,362,58,16,4.9,88,19.8,1,Chlorella
709,442,61,30,9.1,72,9.9,0,Chlorella
297,452,70,19,8.5,48,17.0,1,Chlorella
610,444,70,15,5.7,22,12.7,3,Chlorella
851,524,77,23,4.2,90,22.1,1,Chlorella
243,608,73,13,8.9,41,24.0,2,Chlorella
708,403,31,34,9.6,18,22.7,3,Chlorella
300,403,22,22,5.8,49,10.4,1,Chlorella
223,338,64,29,8.8,29,8.9,0,Chlorella
286,497,37,26,6.6,99,14.5,1,Chlorella
425,433,59,32,9.4,94,5.1,0,Chlorella
563,366,40,16,4.8,91,5.5,0,Ulva
448,690,34,13,11.0,86,16.1,1,Chlorella
870,478,52,23,5.6,89,15.4,1,Chlorella
759,341,54,12,6.3,82,24.9,1,Chlorella
863,314,45,33,3.5,72,9.0,0,Chlorella
502,410,27,14,4.0,85,10.2,1,Chlorella
445,456,55,25,7.6,53,7.3,1,Chlorella
610,588,67,32,5.4,47,23.4,2,Spirulina
246,530,49,29,10.5,92,20.6,1,Chlorella
247,456,42,13,3.1,69,21.4,1,Chlorella
963,337,61,33,6.4,80,23.1,1,Spirulina
810,396,63,33,6.0,57,15.5,1,Spirulina
919,588,33,11,3.2,27,14.0,3,Chlorella
588,553,33,27,4.1,25,11.6,3,Chlorella
739,495,21,28,6.7,64,16.8,1,Chlorella
650,385,74,28,7.4,48,14.1,1,Chlorella
437,621,56,26,6.6,77,14.0,1,Chlorella
971,309,24,23,7.8,68,23.7,1,Chlorella
740,304,57,28,8.4,98,24.7,1,Chlorella
878,422,64,31,3.1,71,20.9,1,Spirulina
572,629,60,33,7.2,22,20.1,2,Chlorella
250,652,73,22,11.7,90,18.6,1,Chlorella
514,417,79,21,7.7,15,8.3,0,Chlorella
397,593,66,15,9.1,92,6.2,1,Chlorella
710,696,33,30,5.8,86,18.8,1,Chlorella
362,458,75,13,10.0,69,19.6,1,Chlorella
863,602,58,28,10.0,99,5.9,1,Chlorella
243,527,44,25,7.7,23,23.6,3,Chlorella
445,664,39,22,11.8,63,6.8,1,Chlorella
723,515,21,13,4.1,13,10.7,3,Chlorella
671,483,58,32,3.2,48,18.4,1,Chlorella
980,314,25,26,9.9,81,8.4,0,Chlorella
101,456,36,32,10.3,34,6.1,1,Chlorella
996,435,78,10,4.1,86,11.6,1,Chlorella
403,560,44,27,5.4,41,20.3,2,Chlorella
353,456,76,29,3.2,68,13.3,1,Chlorella
751,346,47,26,5.6,72,18.1,1,Chlorella
552,623,21,24,10.0,47,16.6,1,Chlorella
136,631,54,20,7.7,62,5.4,1,Chlorella
259,472,56,34,6.1,76,24.8,1,Chlorella
108,429,24,31,6.3,37,5.8,0,Chlorella
332,394,20,22,3.0,12,24.4,3,Chlorella
198,414,59,10,5.7,89,16.0,1,Chlorella
758,542,31,26,8.8,31,24.3,1,Chlorella
915,591,75,15,11.8,47,7.3,1,Chlorella
307,581,55,13,10.6,81,14.8,1,Chlorella
230,598,64,29,3.2,81,8.4,1,Chlorella
503,582,42,25,11.1,71,6.0,1,Chlorella
251,368,66,24,10.0,66,17.4,1,Chlorella
153,447,50,24,10.0,15,9.2,0,Chlorella
219,310,30,15,7.1,87,16.8,1,Ulva
772,553,29,24,6.6,41,7.2,1,Chlorella
727,629,22,23,5.7,19,11.6,3,Chlorella
686,659,73,20,3.6,12,20.6,2,Chlorella
724,337,33,16,5.1,68,13.7,1,Ulva
519,433,35,18,5.2,85,17.6,1,Chlorella
521,499,29,25,7.4,58,17.9,1,Chlorella
203,322,48,14,9.7,68,21.9,1,Ulva
951,602,29,34,7.3,40,11.5,1,Chlorella
353,645,31,29,3.5,78,18.7,1,Chlorella
326,601,49,19,11.6,71,24.2,2,Chlorella
211,662,60,27,11.5,61,19.6,1,Chlorella
609,695,20,12,10.1,98,14.8,1,Chlorella
572,517,24,22,11.9,50,17.6,1,Chlorella
198,440,39,20,7.9,40,19.8,1,Chlorella
252,403,27,26,11.7,94,17.2,1,Chlorella
960,509,62,31,3.7,93,5.3,1,Spirulina
995,410,31,22,6.3,31,8.9,0,Chlorella
977,403,20,15,5.0,13,21.2,3,Chlorella
437,615,76,26,4.8,22,10.5,3,Chlorella
805,470,73,22,4.3,54,19.6,1,Chlorella
921,655,39,28,8.6,51,12.4,1,Chlorella
262,623,47,30,10.0,58,15.4,1,Chlorella
819,432,76,28,8.2,29,6.4,0,Chlorella
780,675,62,19,4.3,86,8.6,1,Chlorella
260,592,56,12,10.3,90,24.1,2,Chlorella
679,627,66,23,8.7,63,22.8,2,Chlorella
900,426,56,28,6.5,45,18.0,1,Chlorella
497,405,31,14,9.1,10,14.2,3,Chlorella
376,391,56,14,5.3,24,18.5,3,Chlorella
915,586,68,29,6.1,86,17.4,1,Chlorella
603,677,68,26,11.3,26,16.4,3,Chlorella
995,692,75,30,5.6,33,6.2,1,Chlorella
491,350,63,19,7.2,67,17.7,1,Chlorella
234,328,75,14,11.0,81,20.4,1,Chlorella
294,595,47,13,9.4,32,24.9,2,Chlorella
500,596,66,15,3.6,55,5.2,1,Chlorella
739,513,34,13,4.3,81,19.6,1,Chlorella
132,566,25,16,3.1,17,16.4,3,Chlorella
787,556,63,16,8.7,68,13.7,1,Chlorella
559,601,78,27,7.0,99,7.6,1,Chlorella
982,400,39,12,4.2,68,13.2,1,Chlorella
569,645,69,10,11.6,22,12.1,3,Chlorella
474,409,33,33,7.8,48,11.1,1,Chlorella
121,481,21,34,5.2,37,19.6,1,Chlorella
849,612,28,13,7.5,98,19.0,1,Chlorella
769,300,56,15,9.1,70,16.8,1,Chlorella
137,618,39,18,3.7,25,23.8,2,Chlorella
329,354,45,31,5.5,11,12.0,3,Chlorella
464,670,48,23,10.3,91,9.9,1,Chlorella
662,698,20,21,7.1,26,18.1,3,Chlorella
537,448,74,34,7.9,39,9.0,0,Spirulina
875,608,54,29,6.9,22,11.3,3,Chlorella
382,436,25,33,3.4,91,9.5,0,Chlorella
126,501,56,34,4.5,22,6.4,3,Chlorella
325,612,72,13,7.0,52,21.5,2,Chlorella
376,416,78,30,4.9,94,10.1,1,Chlorella
897,453,24,33,3.4,30,14.5,1,Chlorella
708,590,52,21,10.6,64,5.9,1,Chlorella
383,362,68,19,11.8,90,19.0,1,Chlorella
978,543,70,31,10.1,49,11.6,1,Spirulina
580,324,33,16,10.7,92,19.9,1,Ulva
552,389,31,12,5.2,24,13.2,3,Ulva
928,374,61,32,11.6,82,8.9,0,Spirulina
915,593,39,23,4.8,61,15.3,1,Chlorella
758,685,72,33,11.6,83,7.6,1,Spirulina
615,690,69,19,12.0,62,13.8,1,Chlorella
646,509,43,25,9.4,96,11.3,1,Chlorella
291,646,78,25,11.8,61,23.2,2,Chlorella
148,316,62,31,8.1,39,6.2,0,Spirulina
611,427,53,19,5.3,42,18.9,1,Chlorella
116,663,44,34,6.9,66,8.7,1,Chlorella
271,550,69,22,8.3,61,11.4,1,Chlorella
319,478,48,15,3.7,18,13.3,3,Chlorella
257,481,76,21,8.6,63,23.2,1,Chlorella
576,451,58,18,11.8,10,9.9,3,Chlorella
145,324,50,22,4.7,53,6.8,0,Chlorella
472,479,75,13,10.1,84,11.4,1,Chlorella
617,497,66,33,11.2,89,7.1,1,Spirulina
198,643,62,20,11.5,18,7.6,3,Chlorella
991,460,69,29,11.6,41,16.5,1,Chlorella
844,476,42,27,7.7,24,6.2,3,Chlorella
136,584,63,20,11.8,21,5.6,3,Chlorella
379,362,57,34,9.8,87,19.3,1,Chlorella
448,449,39,30,4.5,66,12.2,1,Chlorella
596,453,42,13,7.3,17,7.5,3,Chlorella
401,455,64,27,9.5,81,10.1,1,Chlorella
280,669,71,10,5.2,36,17.8,1,Chlorella
706,348,35,16,8.8,71,10.5,1,Ulva
198,636,69,15,9.0,21,14.9,3,Chlorella
799,383,61,24,4.5,74,7.4,0,Chlorella
215,660,79,27,8.1,51,16.8,1,Chlorella
290,476,74,33,9.9,71,11.3,1,Spirulina
352,447,27,20,7.5,20,17.5,3,Chlorella
260,417,69,29,3.1,52,21.2,1,Chlorella
355,641,40,33,3.1,26,17.2,3,Chlorella
422,362,20,24,6.2,41,10.9,1,Chlorella
227,488,74,25,11.3,94,10.1,1,Chlorella
117,659,27,16,5.1,94,11.5,1,Chlorella
892,348,48,30,8.7,49,8.3,0,Chlorella
834,626,51,19,5.0,32,8.6,1,Chlorella
665,556,57,21,5.9,65,20.8,2,Chlorella
669,523,24,33,10.6,15,12.7,3,Chlorella
422,440,66,23,9.6,95,13.7,1,Chlorella
971,514,41,34,3.9,59,16.9,1,Chlorella
785,678,66,14,6.9,46,16.8,1,Chlorella
891,510,53,30,3.3,73,6.3,1,Chlorella
725,617,20,27,7.3,63,21.6,2,Chlorella
387,331,74,14,9.0,81,8.5,0,Chlorella
953,457,74,12,4.1,58,19.5,1,Chlorella
762,584,45,32,5.6,20,20.5,2,Chlorella
738,604,62,14,6.6,97,19.3,1,Chlorella
254,585,29,33,11.3,58,16.6,1,Chlorella
589,443,49,26,11.9,30,5.3,0,Chlorella
485,318,69,28,3.4,75,12.2,1,Chlorella
884,317,37,28,9.8,72,17.1,1,Chlorella
203,556,36,34,6.3,92,12.7,1,Chlorella
492,377,45,30,6.5,37,22.3,1,Chlorella
910,670,27,21,9.8,26,11.2,3,Chlorella
345,474,66,34,11.3,15,10.9,3,Spirulina
275,493,59,18,11.6,28,10.3,3,Chlorella
138,412,68,10,8.2,65,11.7,1,Chlorella
576,413,31,27,6.2,37,16.1,1,Chlorella
781,521,46,30,10.1,75,19.1,1,Chlorella
858,465,27,13,5.3,47,18.3,1,Chlorella
637,618,44,19,8.1,46,21.2,2,Chlorella
966,431,65,34,6.2,77,22.7,1,Spirulina
917,684,23,16,8.9,95,21.3,2,Chlorella
507,563,52,31,5.2,99,5.4,1,Chlorella
624,354,20,32,4.7,58,19.7,1,Chlorella
927,658,38,10,11.3,52,9.2,1,Chlorella
605,430,50,26,3.9,45,7.7,0,Chlorella
924,587,35,33,7.6,67,17.8,1,Chlorella
135,565,33,11,5.0,22,11.4,3,Chlorella
784,665,72,20,3.4,61,6.1,1,Chlorella
119,461,67,18,3.3,67,7.8,1,Chlorella
420,679,24,16,4.6,41,5.0,1,Chlorella
875,386,60,31,10.8,90,23.1,1,Chlorella
611,354,45,26,5.5,69,5.5,0,Chlorella
499,587,47,26,11.6,92,9.2,1,Chlorella
753,477,21,11,8.2,67,13.3,1,Chlorella
982,690,69,15,6.9,65,12.1,1,Chlorella
570,648,25,23,8.2,37,23.2,2,Chlorella
242,307,28,15,7.7,10,5.8,0,Ulva
191,620,52,11,9.8,51,15.2,1,Chlorella
453,612,60,10,5.5,91,18.6,1,Chlorella
933,546,44,19,6.2,57,23.6,1,Chlorella
899,622,67,30,11.0,49,17.4,1,Chlorella
826,554,32,14,11.5,72,21.1,2,Chlorella
953,627,28,11,11.0,85,6.7,1,Chlorella
150,353,72,31,6.8,81,12.7,1,Spirulina
764,548,32,25,10.0,97,12.5,1,Chlorella
797,538,50,34,7.3,89,22.7,1,Chlorella
674,528,60,11,7.5,13,8.0,3,Chlorella
289,366,30,19,4.8,47,8.0,0,Ulva
224,350,23,11,8.3,36,11.6,1,Ulva
249,396,53,25,4.7,18,6.1,0,Chlorella
413,391,57,25,6.0,25,8.6,0,Chlorella
669,563,65,28,10.7,65,24.3,2,Chlorella
441,590,23,16,4.9,85,13.6,1,Chlorella
404,395,57,31,3.6,40,17.6,1,Chlorella
791,387,38,21,3.6,97,19.5,1,Chlorella
781,377,25,33,11.5,23,12.3,3,Chlorella
937,587,53,24,7.6,34,7.9,1,Chlorella
882,419,37,17,6.7,43,9.1,0,Chlorella
153,601,32,15,10.3,76,11.3,1,Chlorella
543,699,60,19,10.5,33,17.7,1,Chlorella
712,464,42,12,6.0,82,13.0,1,Chlorella
363,481,38,28,9.2,35,5.1,1,Chlorella
152,697,64,26,9.9,29,15.5,3,Chlorella
671,522,30,16,8.9,73,23.4,1,Chlorella
719,610,20,30,4.4,19,21.2,2,Chlorella
104,306,43,29,10.9,92,21.5,1,Chlorella
202,629,73,13,7.9,76,20.9,2,Chlorella
295,562,26,23,5.5,33,11.5,1,Chlorella
873,460,44,29,6.8,14,20.3,3,Chlorella
976,450,40,31,3.3,76,7.9,1,Chlorella
983,384,34,24,4.2,67,18.2,1,Chlorella
449,446,20,33,9.9,36,17.8,1,Chlorella
146,411,31,17,3.0,89,5.5,0,Chlorella
