Algae Type,Algae Amount (kg),Wall Size (m²),Temperature (°C),Sunlight Hours,Optimal Panel Type,Algae Type Encoded,Optimal Panel Type Encoded
Scenedesmus,23.665296065114774,37.07904788350927,21.294557395634104,7.977988047139084,V-Shaped,3,5
Haematococcus,30.02571708713301,97.89534602493876,39.943512126223546,6.13424811420228,V-Shaped,0,5
Scenedesmus,45.71909536312721,91.74392973699884,16.286968781249733,6.229171713892892,V-Shaped,3,5
Spirulina,49.7822489758794,50.30048481157825,32.01763628886917,8.247476666537091,V-Shaped,2,5
Scenedesmus,17.696087556378032,31.79439444496833,17.02133315831788,6.957235648491236,V-Shaped,3,5
Dunaliella,31.677016391094387,58.21972156672826,30.807645764839485,9.06823768608716,V-Shaped,4,5
Haematococcus,29.287429450258227,72.62315261117936,18.767938599135736,8.065590213925748,V-Shaped,0,5
Spirulina,12.992289480137291,11.492904603507052,29.772323579706047,9.42051489473826,V-Shaped,2,5
Spirulina,15.199314206098135,18.65588959822787,35.23752615349289,6.789327898333835,V-Shaped,2,5
Haematococcus,33.44967865949456,94.30569898630613,32.27344345256165,7.093882770404299,V-Shaped,0,5
Haematococcus,14.23781537335971,28.816445866394236,31.892252925982017,9.881728953926178,Tubular,0,1
Chlorella,77.53333179775537,83.54999801810942,21.44854069287889,9.279872368273432,V-Shaped,1,5
Haematococcus,30.33055639042993,99.6628329782132,27.91589728177536,6.086633398643272,V-Shaped,0,5
Scenedesmus,23.87747903416304,26.983639750724144,28.95733634017744,11.061090745514718,V-Shaped,3,5
Haematococcus,44.49724975489923,90.73992339573194,23.73023936531652,9.807645430961916,V-Shaped,0,5
Haematococcus,5.735456350143404,24.54658426851524,31.050791153857197,4.673119719960391,V-Shaped,0,5
Scenedesmus,52.818192433154046,94.61200982120006,29.517165535911367,6.978262132493945,V-Shaped,3,5
Haematococcus,15.697109625207856,59.38604104299275,15.126539596155467,5.286464411339989,Vertical Column,0,4
Spirulina,51.518930737712736,74.09612992127823,31.299031487565014,5.794154475684478,Vertical Column,2,4
Haematococcus,11.67091483192636,42.982190612457394,27.347342879585867,5.430581673770631,V-Shaped,0,5
Spirulina,18.90211820938856,18.430729104528325,31.440322307508584,8.546468826683773,V-Shaped,2,5
Spirulina,45.451600892447146,63.08837628044895,30.908315454647383,6.003694548844673,Vertical Column,2,4
Dunaliella,33.13589426084357,49.09549289593858,27.16855382398638,11.248790301748432,V-Shaped,4,5
Dunaliella,28.082168851742928,54.32659244369775,27.5659273276298,8.615231077010872,Flat Panel,4,0
Dunaliella,29.486777577262103,61.48037792882648,20.75463170603888,7.993547039078019,V-Shaped,4,5
Haematococcus,31.26301132672596,52.29500625918487,16.090094293860844,11.956404086378727,V-Shaped,0,5
Dunaliella,57.36100560739799,95.77646623215578,37.08735055665648,9.981750191179312,Tubular,4,1
Dunaliella,68.09441168239678,96.72579793803276,25.704603707932858,11.733238552349356,V-Shaped,4,5
Haematococcus,8.760180232036268,27.18199280353114,16.883656400153207,6.445576154297455,V-Shaped,0,5
Haematococcus,16.097849622959263,60.11211362125152,22.923050128906944,5.35594197348874,V-Shaped,0,5
Chlorella,13.14361271941891,28.802684585382416,38.2504208702708,4.563329046796351,V-Shaped,1,5
Chlorella,24.831878977564752,39.02956878147405,21.35409122674347,6.36232470735151,V-Shaped,1,5
Haematococcus,28.894809365880903,59.753797921711694,18.41553328605072,9.671287975280949,V-Shaped,0,5
Chlorella,92.27024738580106,88.03650867220934,35.23402888696284,10.480907157433446,Tubular,1,1
Dunaliella,16.12804630773793,66.51049734537725,17.03985451000601,4.041478902191894,Vertical Column,4,4
Scenedesmus,62.78793437246621,81.6213402492491,31.24909826944413,9.615735018061628,V-Shaped,3,5
Scenedesmus,20.968871805069263,62.09784059568028,37.165428723766496,4.220934174989638,V-Shaped,3,5
Spirulina,35.822312900093735,35.7887126915456,26.639950453311503,8.341157077660613,V-Shaped,2,5
Chlorella,8.0997893726751,13.495126098648088,36.51011545779188,6.002010884126912,V-Shaped,1,5
Spirulina,77.82076549940312,79.29941977887498,18.17651281629712,8.177946080438435,V-Shaped,2,5
Scenedesmus,52.55436388139664,85.78207675107832,39.131295759769245,7.658121292909828,V-Shaped,3,5
Scenedesmus,17.235956637057196,22.451778317602123,25.283847626416964,9.59609768613755,V-Shaped,3,5
Dunaliella,7.984889987730058,13.69607650910882,39.23842167785398,9.716760833439617,Tubular,4,1
Spirulina,6.820176720443928,12.281566907391175,25.9742855176409,4.627651050738128,Vertical Column,2,4
Dunaliella,32.06694859112623,71.96499106888297,17.02182416542994,7.426515799520862,V-Shaped,4,5
Haematococcus,8.539421659426258,32.52186083481358,19.332358001771144,5.251496341368688,Vertical Column,0,4
Haematococcus,29.930080366400727,95.93787525968747,31.50493441794328,6.239471175567543,V-Shaped,0,5
Dunaliella,14.255620622989694,32.29578905510417,30.293018655858805,7.356800499422319,Flat Panel,4,0
Spirulina,10.096863196734118,20.446537645622463,33.94615276160923,4.115147909038047,Vertical Column,2,4
Dunaliella,38.22962028433364,98.15594757593576,17.353924706714004,6.4913064751303535,Vertical Column,4,4
Dunaliella,15.56628977865414,54.24542876051491,26.85434572718313,4.782673285208012,V-Shaped,4,5
Scenedesmus,27.41216243361998,45.86542609576361,19.33004674775038,7.470813193903784,V-Shaped,3,5
Chlorella,37.14132018583806,33.48042610075426,38.72864328978465,11.09344309838438,Tubular,1,1
Chlorella,69.88576313434922,87.08408570694901,30.646497892855912,8.0250900686407,Tubular,1,1
Dunaliella,50.85616357657334,94.95024441046814,32.099094234953526,8.92680931511931,Flat Panel,4,0
Chlorella,82.18949530800089,94.62072172824618,15.662782763540545,8.686204650187706,V-Shaped,1,5
Scenedesmus,37.4945561301587,51.2427601442365,24.70424815516305,9.146305747538824,V-Shaped,3,5
Spirulina,90.62111844927588,83.83841593941412,35.515986893598885,9.007517360812582,Flat Panel,2,0
Chlorella,18.14971088259376,29.31302077375367,20.167108996918635,6.19168901856907,V-Shaped,1,5
Chlorella,36.04345125715494,40.28987933998539,15.97407830775584,8.946031074703143,V-Shaped,1,5
Chlorella,13.012447818045397,12.094474216224327,22.974390757344032,10.759002487755636,V-Shaped,1,5
Chlorella,57.65872156061669,72.36013228227455,21.517363205897578,7.968299634347249,V-Shaped,1,5
Chlorella,83.92264104538233,76.15639394234972,30.7235711694971,11.019776108216425,Tubular,1,1
Dunaliella,24.20180472696681,48.11238480773067,39.18951378800619,8.383775065984699,V-Shaped,4,5
Spirulina,38.09481799621091,43.481627721350485,39.76262855001683,7.300941415291412,V-Shaped,2,5
Dunaliella,43.375882451745184,76.59178844026371,20.964921494758507,9.438758239201968,V-Shaped,4,5
Spirulina,74.6912789657373,55.472713520307146,17.578096720898316,11.220423253436532,V-Shaped,2,5
Haematococcus,25.13513231074145,45.02815108607468,23.00124002576529,11.164185827969604,V-Shaped,0,5
Scenedesmus,36.16074234443348,41.94146714164486,38.96353742207996,10.777145152764716,Tubular,3,1
Scenedesmus,57.19747223337801,61.60940993109575,38.751549176270125,11.604857175500449,Tubular,3,1
Dunaliella,31.6620723706682,59.83327471112207,17.292603681462026,8.819527407208952,V-Shaped,4,5
Dunaliella,50.25728282754424,81.06563285150985,33.809363235942,10.332632349806788,V-Shaped,4,5
Dunaliella,70.504784894469,99.63381178272962,38.27322764218231,11.79398566827528,Tubular,4,1
Chlorella,46.16320207327287,41.58235112968708,26.038262534334425,11.1016334620664,V-Shaped,1,5
Chlorella,81.09659048329875,85.32674868136364,39.21629859935337,9.504240081400312,Tubular,1,1
Haematococcus,17.076297484684442,73.08722183132079,17.528066903069757,4.67285444891998,Vertical Column,0,4
Chlorella,25.827408735207072,23.194433952282296,24.916290048856297,11.135175270214212,V-Shaped,1,5
Dunaliella,31.172599588486943,43.68437161805083,17.120942852129797,11.893116628009404,V-Shaped,4,5
Haematococcus,27.01938327388209,91.69243357136916,37.008999215960415,5.89348154945663,V-Shaped,0,5
Dunaliella,7.366916717683703,17.51506450288019,33.83445463147354,7.010076684247326,Flat Panel,4,0
Dunaliella,18.73289601618379,32.38517389872592,24.44968975305636,9.640674914373278,V-Shaped,4,5
Spirulina,10.502921468956083,11.021828029067716,17.779937057653783,7.941000834326873,Vertical Column,2,4
Scenedesmus,62.78139322436547,79.04753677977145,29.286825630125264,9.927790887285347,V-Shaped,3,5
Haematococcus,14.822319952722056,31.375582416322292,33.60529142358245,9.448315416775271,Tubular,0,1
Haematococcus,27.711726338611907,88.17392153705143,24.3717644880926,6.285696690254886,Flat Panel,0,0
Dunaliella,23.91698161793689,97.28909440368751,39.08056348601528,4.097235797518531,V-Shaped,4,5
Dunaliella,24.31424626815634,93.21789972012364,23.06715970693959,4.347206266385382,Vertical Column,4,4
Scenedesmus,65.58327651065973,97.2372282057189,16.84491411838497,8.430834275210566,V-Shaped,3,5
Chlorella,20.93338074358723,36.50445521554869,19.155385797731324,5.73447285269193,V-Shaped,1,5
Haematococcus,39.51424425855536,91.104220944189,30.688952002101587,8.674514495384802,Tubular,0,1
Haematococcus,8.873433080233479,15.207750798193665,37.88135854172766,11.66961925926277,Tubular,0,1
Scenedesmus,13.515600256985344,25.271191350600898,17.66890164839711,6.685280518375706,V-Shaped,3,5
Scenedesmus,34.14995468202711,62.529050066578485,26.59246012349956,6.826817824208423,V-Shaped,3,5
Scenedesmus,24.703441518988438,50.7916762145948,24.008627380131703,6.0795989028341015,V-Shaped,3,5
Haematococcus,23.41814735979488,64.25036938209686,21.994087679223643,7.28965376697749,Flat Panel,0,0
Dunaliella,26.17734500152169,94.64786444218451,18.329628130593743,4.609603036793305,Vertical Column,4,4
Spirulina,50.92337823108942,47.6418732661557,33.142987709709004,8.907321567486319,V-Shaped,2,5
Chlorella,25.00466148241285,47.01296049268321,28.78969681360175,5.318674089096008,Flat Panel,1,0
Haematococcus,26.08548912713493,43.906507294414666,27.009252046658865,11.882288405324037,Tubular,0,1
Chlorella,100.88399172734697,85.79070308221378,24.52227141577554,11.759315182516826,V-Shaped,1,5
Dunaliella,5.6808699228014685,22.046690692056988,16.587795739750035,4.294574941087931,Vertical Column,4,4
Dunaliella,54.476064709517885,83.16109082170698,16.409387416273177,10.917779010040428,V-Shaped,4,5
Dunaliella,40.12778399194044,79.20886736624594,39.91592092684763,8.44345364482102,V-Shaped,4,5
Dunaliella,13.356377383773312,31.697634909666867,33.927030051061394,7.022804394206291,Flat Panel,4,0
Haematococcus,37.54692270620827,64.5557171005792,18.22898537878737,11.63240821806978,V-Shaped,0,5
Haematococcus,18.88949955145197,42.23464462295564,31.792517110146417,8.945025923663167,Tubular,0,1
Chlorella,66.24443496983146,84.82343410562511,27.454129666147324,7.809685574312113,V-Shaped,1,5
Chlorella,50.89917787401385,60.48441743818477,36.3045375079635,8.415254710195885,Tubular,1,1
Spirulina,7.66322999361257,12.590440868200508,25.087071655309927,5.072121827605126,Vertical Column,2,4
Dunaliella,16.85717909724997,29.166774535801967,30.50773878383661,9.632638144793788,V-Shaped,4,5
Scenedesmus,47.72613366379054,67.29798894600543,39.511568127309445,8.86470279633508,V-Shaped,3,5
Spirulina,69.78120738717885,59.27016762092004,17.275052276283258,9.811176261201826,V-Shaped,2,5
Haematococcus,23.664355407709884,65.98780302050861,34.591325318528575,7.172342258570161,V-Shaped,0,5
Spirulina,63.89993588550521,51.34121271515552,32.44104678733659,10.371774205391018,V-Shaped,2,5
Haematococcus,15.565913536057996,51.32221806144352,27.302907326988453,6.065955106391667,V-Shaped,0,5
Chlorella,19.53916428895921,28.82177119706628,30.52014211055228,6.779307265803314,V-Shaped,1,5
Spirulina,11.940645872403204,21.59917497195843,21.003640469454822,4.606906624869311,Vertical Column,2,4
Spirulina,28.88060446719521,26.369207595923037,18.470679316235252,9.126997958425717,V-Shaped,2,5
Haematococcus,27.30216924033557,70.08019646689245,37.4197102476503,7.791693122102979,V-Shaped,0,5
Chlorella,48.620164236480434,83.96115731600042,30.048384888524005,5.790792527250565,V-Shaped,1,5
Chlorella,9.73986713836556,17.983228038135003,21.964758475798966,5.416083874213975,V-Shaped,1,5
Haematococcus,30.97989097369293,90.47955366063331,28.36058759331308,6.847931874175889,V-Shaped,0,5
Haematococcus,6.446270161408612,13.538092585698903,27.58543177137142,9.523158629034922,Tubular,0,1
Haematococcus,26.62972058749691,56.04913121925351,27.02863485140733,9.502277736768663,Tubular,0,1
Spirulina,18.80858374484617,34.918988333248336,38.02181001329533,4.48862367883891,V-Shaped,2,5
Haematococcus,43.3482469903084,98.76312962801336,17.112925192017048,8.778224658043445,V-Shaped,0,5
Chlorella,61.74926086145382,74.84644552523184,33.99888522343964,8.250126031788273,Tubular,1,1
Chlorella,44.66553750569943,74.20146272960972,15.917080072264948,6.019495554752166,V-Shaped,1,5
Spirulina,29.299952748500694,50.26711301411092,28.30283713163289,4.857376090718208,Vertical Column,2,4
Spirulina,44.34405329464902,76.36646854844372,24.929095812602064,4.838953332259847,Vertical Column,2,4
Scenedesmus,15.273741926314802,29.03032062968902,15.50177994444316,6.576633324665426,V-Shaped,3,5
Chlorella,23.969382841607896,40.863417785043424,28.383389100388086,5.86573129239841,Flat Panel,1,0
Haematococcus,28.289469445260725,54.85979790361515,31.97755797861224,10.313369908858707,Tubular,0,1
Scenedesmus,53.621821196002685,77.0895526765897,28.42766354546369,8.694728944167032,V-Shaped,3,5
Haematococcus,14.19049595534582,40.37021504847263,29.11146356306603,7.030181007610315,V-Shaped,0,5
Scenedesmus,28.815898500891688,42.048705330806165,31.147931033290032,8.566226437351295,Flat Panel,3,0
Dunaliella,7.3483652023820225,10.678092682066726,23.25871203202285,11.469534590078997,V-Shaped,4,5
Dunaliella,8.758614422870979,24.46132359336001,18.821478479608302,5.967661827076065,Vertical Column,4,4
Spirulina,18.81550391927239,15.00881404212778,17.197190613503597,10.446919093929148,V-Shaped,2,5
Haematococcus,19.23446960407947,46.935714429069535,17.005843641541055,8.196091116562037,V-Shaped,0,5
Scenedesmus,55.27435506465065,61.8398576025094,39.931388369209856,11.172882103792166,Tubular,3,1
Spirulina,41.99195103001973,33.211254434044584,36.637678147349504,10.536576567594238,V-Shaped,2,5
Spirulina,68.02302564248932,58.15330588404195,35.52153682883382,9.747658166692428,Flat Panel,2,0
Chlorella,27.25239508892389,26.833937370177104,21.999477341507102,10.155943465535495,V-Shaped,1,5
Scenedesmus,20.517769210652563,31.816875917357223,25.635910965410417,8.06088302947564,V-Shaped,3,5
Haematococcus,19.65628213745732,62.31143992803511,30.265501061040816,6.309044425922046,V-Shaped,0,5
Spirulina,49.986546583268016,63.449478780210896,38.30035855642336,6.565137537276114,V-Shaped,2,5
Chlorella,49.83211851588357,59.40297819000796,26.35669930547749,8.388824943505226,V-Shaped,1,5
Chlorella,34.49440019849083,32.917658928738746,23.058846124368078,10.478995566837078,V-Shaped,1,5
Dunaliella,15.565889611218442,52.5849580946703,15.067772485358242,4.933568513133451,Vertical Column,4,4
Spirulina,116.31437764936013,84.75574670089563,23.721706663574885,11.436233153982606,V-Shaped,2,5
Scenedesmus,90.95938038236775,99.18365288116516,25.212957323397923,11.463504536799636,V-Shaped,3,5
Chlorella,34.76060000630502,76.70085843610532,19.530826654141503,4.53197013893422,Vertical Column,1,4
Scenedesmus,33.40085056052807,81.57405806739011,36.0457194189568,5.118179013010316,V-Shaped,3,5
Scenedesmus,35.41832279367183,83.3117248208244,19.09139857164261,5.314126383447944,Vertical Column,3,4
Spirulina,51.97755129131195,38.45769240668452,30.84396409300443,11.262929043700128,V-Shaped,2,5
Chlorella,52.16065927804115,49.52214177131966,24.81112768556589,10.532795515772616,V-Shaped,1,5
Spirulina,49.39744034185667,49.48702078495052,30.60253860454594,8.318248495317064,V-Shaped,2,5
Haematococcus,24.940536417239827,44.55020992358903,20.80531737867043,11.196596586196549,V-Shaped,0,5
Dunaliella,11.07373904171608,20.520823663752765,37.66180277411368,8.993903967311937,V-Shaped,4,5
Spirulina,18.061602561997542,22.53448653970485,30.692701326785446,6.679244917256689,Vertical Column,2,4
Dunaliella,36.69772939676066,61.58357643316498,27.38559066009914,9.931687289112364,V-Shaped,4,5
Dunaliella,12.609883840079831,32.36402258330192,18.79187199331878,6.493776542364386,Vertical Column,4,4
Haematococcus,33.64643932800747,78.62128171666215,15.838310868394483,8.559117478970531,V-Shaped,0,5
Spirulina,33.73435098040572,58.283321633613525,33.86588229650292,4.82332824595316,Vertical Column,2,4
Scenedesmus,39.00482847460157,55.20595127162771,26.42500548204196,8.8316629765801,V-Shaped,3,5
Dunaliella,34.67236933612562,79.46937825384205,27.158937049890195,7.271641416683946,Flat Panel,4,0
Spirulina,67.44780949103344,58.84519990128366,31.028690822132432,9.5515875557368,V-Shaped,2,5
Spirulina,122.68120940820612,96.3167315107625,29.975734119433163,10.614390622472628,V-Shaped,2,5
Chlorella,32.80382522228949,62.76068488151175,38.68208349029538,5.226811224928642,V-Shaped,1,5
Chlorella,36.67853354255424,88.49115180497364,30.286355885866197,4.144881470566724,V-Shaped,1,5
Scenedesmus,73.64574365574823,81.10761734116781,17.55531660562999,11.350004178085973,V-Shaped,3,5
Dunaliella,19.37757570137853,61.86595241501318,32.68096585783496,5.220312343314091,V-Shaped,4,5
Chlorella,8.951814328990594,19.38222694466285,16.72303848418047,4.618568523910298,Vertical Column,1,4
Haematococcus,7.679520409361745,20.19142412566797,38.13921282266941,7.606714971233057,V-Shaped,0,5
Dunaliella,28.12515654423292,85.37417101022429,19.13801275918225,5.4905670359529655,Vertical Column,4,4
Haematococcus,25.76225321101076,63.21478921704363,36.747409051553205,8.150704457008576,Tubular,0,1
Dunaliella,17.022638864735335,28.50218275380737,24.48264245963872,9.95399721474631,V-Shaped,4,5
Haematococcus,15.28143463361484,45.8351824231849,15.115800575115072,6.6679933735291534,V-Shaped,0,5
Haematococcus,29.548060071314943,51.91301100869319,36.587953515323925,11.38368185438788,Tubular,0,1
Spirulina,27.619897142537003,30.21443406459837,33.43753120274371,7.617743527118457,Vertical Column,2,4
Scenedesmus,29.68334056225395,61.98687586823925,37.81873657197822,5.985811542057215,V-Shaped,3,5
Scenedesmus,38.588349476501726,42.61545092049698,25.473136237613694,11.3187672085448,V-Shaped,3,5
Spirulina,34.34122159177939,69.71836348150396,30.80660719798826,4.104755652706669,Vertical Column,2,4
Haematococcus,12.276894654217008,47.316171135432135,39.02675793673637,5.189301822024904,V-Shaped,0,5
Scenedesmus,16.192149591783387,36.96363205898294,28.376742973341464,5.475702971350849,Vertical Column,3,4
Dunaliella,36.46968407065327,81.98038198668425,24.93295288643995,7.414311242693995,V-Shaped,4,5
Dunaliella,35.93374914009245,85.29083319630996,30.624399676276305,7.021807579521354,Flat Panel,4,0
Spirulina,62.200026818308814,50.795995127322485,16.642715985708808,10.204220933560084,V-Shaped,2,5
Chlorella,42.956798777007855,54.73107539391241,28.361397281431174,7.848703587100688,V-Shaped,1,5
Spirulina,57.32170413431383,87.56070589121656,18.88100614826781,5.455425043962169,Vertical Column,2,4
Spirulina,50.28458525057983,67.95995889151142,24.332732906993822,6.16595738514843,Vertical Column,2,4
Scenedesmus,81.003793455293,85.58099735109136,35.01874428715303,11.83145148492769,Tubular,3,1
Dunaliella,16.583547122879807,32.84997076389739,25.19961238412112,8.413780762074719,Flat Panel,4,0
Spirulina,42.6116799805752,40.53441213065719,27.637696977650844,8.760391837603365,V-Shaped,2,5
Dunaliella,17.394357946235605,31.436450294205383,19.463616551358346,9.221968862814997,V-Shaped,4,5
Chlorella,76.56563829080034,64.28776619592816,35.13287418394763,11.90983025564354,Tubular,1,1
Spirulina,31.472924888350448,22.697366389994222,39.06623296387187,11.555277804618187,Tubular,2,1
Chlorella,13.447848906983651,28.70976296314246,15.3250480877684,4.684068246835745,Vertical Column,1,4
Spirulina,89.67363672255266,67.86330072528278,18.06942224156771,11.01155260700235,V-Shaped,2,5
Chlorella,42.96295348241681,40.76356165280884,37.31679277692437,10.539548493907528,Tubular,1,1
Chlorella,9.03141751545856,13.080529973847622,35.62768328556649,6.904473697560724,V-Shaped,1,5
Scenedesmus,34.73763137040821,59.68424627667822,30.603722696228356,7.275293217529923,Flat Panel,3,0
Chlorella,56.24226924460816,97.7092538678983,36.52670049936804,5.75608420064767,V-Shaped,1,5
Scenedesmus,47.179352596607806,53.86880784245623,18.502829394161317,10.947743807183302,V-Shaped,3,5
Haematococcus,31.083189121798974,76.7518249805799,27.119459178758653,8.099661247055373,Tubular,0,1
Chlorella,13.66747165843358,22.54204666655417,30.836955495653683,6.063101483465618,V-Shaped,1,5
Spirulina,55.26691385622513,91.0515071112747,25.542598363832045,5.058209689002643,Vertical Column,2,4
Chlorella,38.27253174913931,92.28689259044492,21.807683162984222,4.147125412379734,Vertical Column,1,4
Dunaliella,7.687272303285474,16.045785992413908,35.37636071006143,7.984726028088046,V-Shaped,4,5
Dunaliella,18.24059880872405,28.577914458454288,31.285509708796607,10.637934429657612,V-Shaped,4,5
Chlorella,20.7629468851523,33.9848554033794,18.500463466511224,6.109470421076932,V-Shaped,1,5
Spirulina,73.79974577988092,69.853300709163,29.935327554257707,8.804134883469228,V-Shaped,2,5
Chlorella,32.69534404198062,44.48246754245477,37.860298648124,7.350164199136585,Tubular,1,1
Chlorella,65.76616115259544,96.27644595818984,25.550901488767185,6.830971012489996,Flat Panel,1,0
Haematococcus,14.156274402288933,32.081419871318886,17.069966698128162,8.825216875731105,V-Shaped,0,5
Dunaliella,41.564706000248194,92.39623095627226,35.926974767575736,7.497547170857948,V-Shaped,4,5
Spirulina,54.09951227116622,52.84453619791897,22.428042890579377,8.531237122375178,V-Shaped,2,5
Dunaliella,21.65083366402298,58.58585010173741,27.09387354831032,6.159289779137559,V-Shaped,4,5
Spirulina,28.942159375928124,54.67296224811127,29.87694826750637,4.411406507874003,Vertical Column,2,4
Dunaliella,28.40576833130556,52.68135778303326,18.866803522080907,8.986660407239926,V-Shaped,4,5
Haematococcus,26.820802105809594,54.59421845855786,16.87844454339522,9.825510049628829,V-Shaped,0,5
Spirulina,15.50907382996615,16.83400693326599,29.957151456703865,7.677452102089049,Vertical Column,2,4
Chlorella,32.96699188747119,34.49306235069665,34.985396974224486,9.557571766835414,Tubular,1,1
Chlorella,53.87332547002091,82.6687226635085,17.57734365034362,6.516772454475287,V-Shaped,1,5
Haematococcus,29.08626176596372,50.140519566216014,18.420465772974037,11.60189883056642,V-Shaped,0,5
Scenedesmus,66.69242761194339,75.9002397768605,28.54752368445895,10.983566687011264,V-Shaped,3,5
Dunaliella,39.5733072687253,67.35084218105382,33.97589613847124,9.792826634185108,V-Shaped,4,5
Haematococcus,33.20088879652264,72.38576903112323,37.58409531590063,9.173319352937307,Tubular,0,1
Haematococcus,15.85952920314719,73.50176552641196,38.60148349216533,4.315414490948047,V-Shaped,0,5
Haematococcus,39.46866991950275,92.39394678292376,19.51438362818334,8.543561844421035,V-Shaped,0,5
Dunaliella,6.773745457530787,20.37538191225559,33.27559178645704,5.540792222285043,V-Shaped,4,5
Spirulina,81.91240387475865,87.58383858903821,38.60666222783585,7.79371373325971,V-Shaped,2,5
Spirulina,17.006742144642075,13.330687124394336,22.97751183108139,10.631323793205418,V-Shaped,2,5
Spirulina,84.43397066391304,89.6498520870953,29.01692985008785,7.8484950707526915,Vertical Column,2,4
Spirulina,18.673759125139668,15.882070671904811,23.49687409420165,9.798134172230093,V-Shaped,2,5
Haematococcus,35.50344362356168,76.40701902158725,28.460037259519687,9.293241400644332,Tubular,0,1
Haematococcus,13.821685232500352,30.96635272782704,37.14944370590467,8.926905505458436,Tubular,0,1
Spirulina,44.398717835134605,88.72315054157795,36.752471847523246,4.170155286803097,V-Shaped,2,5
Dunaliella,11.210421877199389,16.302673517272392,24.599097247993143,11.460719275402024,V-Shaped,4,5
Scenedesmus,5.041212216265813,13.383709588563478,16.317095899430715,4.708347284908945,Vertical Column,3,4
Scenedesmus,86.65595887987108,98.56751222793656,30.68763658045925,10.989416913490713,V-Shaped,3,5
